Author-abbrv	Title-abbrv	shortauthor	origtitle	shorthand	author	title	origlanguage	year	number	volume	translator	editor	publisher	location	keywords	options	series	shortseries
Cic.	ac. 1	Cicero	Academicorum posteriorum liber 1		Tullius Cicero, Marcus													
Cic.	ac. 2	Cicero	Lucullus sive Academicorum priorum liber 2		Tullius Cicero, Marcus													
Cic.	ad. Brut.	Cicero	epistulae ad Brutum		Tullius Cicero, Marcus													
Cic.	ad Q. fr.	Cicero	ad Quintum fratrem		Tullius Cicero, Marcus													
Cic.	Arat.	Cicero	Aratea		Tullius Cicero, Marcus													
Cic.	Arch.	Cicero	pro Archia poeta		Tullius Cicero, Marcus													
Cic.	Att.	Cicero	epistulae ad Atticum		Tullius Cicero, Marcus													
Cic.	Balb.	Cicero	pro L. Balbo		Tullius Cicero, Marcus													
Cic.	Brut.	Cicero	Brutus		Tullius Cicero, Marcus													
Cic.	Caecin.	Cicero	pro A. Caecina		Tullius Cicero, Marcus													
Cic.	Cael.	Cicero	pro M. Caelio		Tullius Cicero, Marcus													
Cic.	Catil.	Cicero	in Catilinam		Tullius Cicero, Marcus													
Cic.	Cato	Cicero	Cato maior de senectute		Tullius Cicero, Marcus													
Cic.	Cluent.	Cicero	pro A. Cluentio		Tullius Cicero, Marcus													
Cic.	de orat.	Cicero	de oratore		Tullius Cicero, Marcus													
Cic.	Deiot.	Cicero	pro rege Deiotaro		Tullius Cicero, Marcus													
Cic.	div.	Cicero	de divinatione		Tullius Cicero, Marcus													
Cic.	div.in Caec.	Cicero	divinatio in Q. Caecilium		Tullius Cicero, Marcus													
Cic.	fam.	Cicero	epistulae ad familiares		Tullius Cicero, Marcus													
Cic.	fin.	Cicero	de finibus bonorum et malorum		Tullius Cicero, Marcus													
Cic.	fat.	Cicero	de fato		Tullius Cicero, Marcus													
Cic.	fin.	Cicero	de finibus bonorum et malorum		Tullius Cicero, Marcus													
Cic.	Flacc.	Cicero	pro L. Valerio Flacco		Tullius Cicero, Marcus													
Cic.	Font.	Cicero	pro M. Fonteio		Tullius Cicero, Marcus													
Cic.	har. resp.	Cicero	de haruspicum responso		Tullius Cicero, Marcus													
Cic.	inv.	Cicero	de inventione		Tullius Cicero, Marcus													
Cic.	Lael.	Cicero	Laelius de amicitia		Tullius Cicero, Marcus													
Cic.	leg.	Cicero	de legibus		Tullius Cicero, Marcus													
Cic.	leg. agr.	Cicero	de lege agraria		Tullius Cicero, Marcus													
Cic.	Lig.	Cicero	pro Q. Ligario		Tullius Cicero, Marcus													
Cic.	Manil.	Cicero	pro lege Manilia (de imperio Cn. Pompei)		Tullius Cicero, Marcus													
Cic.	Marcell.	Cicero	pro M. Marcello		Tullius Cicero, Marcus													
Cic.	Mil.	Cicero	pro T. Annio Milone		Tullius Cicero, Marcus													
Cic.	Mur.	Cicero	pro L. Murena		Tullius Cicero, Marcus													
Cic.	nat. deor.	Cicero	de natura deorum		Tullius Cicero, Marcus													
Cic.	off.	Cicero	de officiis		Tullius Cicero, Marcus													
Cic.	opt. gen.	Cicero	de optimo genere oratorum		Tullius Cicero, Marcus													
Cic.	orat.	Cicero	orator		Tullius Cicero, Marcus													
Cic.	p.red.ad Quir.	Cicero	oratio post reditum ad Quirites		Tullius Cicero, Marcus													
Cic.	p.red.in sen.	Cicero	oratio post reditum in senatu		Tullius Cicero, Marcus													
Cic.	parad.	Cicero	paradoxa		Tullius Cicero, Marcus													
Cic.	part.	Cicero	partitiones oratoriae		Tullius Cicero, Marcus													
Cic.	Phil.	Cicero	in M. Antonium orationes Philippicae		Tullius Cicero, Marcus													
Cic.	Pis.	Cicero	in L. Pisonem		Tullius Cicero, Marcus													
Cic.	Planc.	Cicero	pro Cn. Plancio		Tullius Cicero, Marcus													
Cic.	Q. Rosc.	Cicero	pro Q. Roscio comoedo		Tullius Cicero, Marcus													
Cic.	Quinct.	Cicero	pro P. Quinctio		Tullius Cicero, Marcus													
Cic.	Rab. perd.	Cicero	pro C. Rabirioperduellionis reo		Tullius Cicero, Marcus													
Cic.	Rab post.	Cicero	pro C. Rabirio Postumo		Tullius Cicero, Marcus													
Cic.	rep.	Cicero	de re publica		Tullius Cicero, Marcus													
Cic.	S. Rosc.	Cicero	pro Sex. Roscio Amerino		Tullius Cicero, Marcus													
Cic.	Scaur.	Cicero	pro M. Aemilio Scauro		Tullius Cicero, Marcus													
Cic.	Sest.	Cicero	pro P. Sestio		Tullius Cicero, Marcus													
Cic.	Sull.	Cicero	pro P. Sulla		Tullius Cicero, Marcus													
Cic.	Tim.	Cicero	Timaeus		Tullius Cicero, Marcus													
Cic.	top.	Cicero	topica		Tullius Cicero, Marcus													
Cic.	Tull.	Cicero	pro M.Tullio		Tullius Cicero, Marcus													
Cic.	Tusc.	Cicero	Tusculanae disputationes		Tullius Cicero, Marcus													
Cic.	Vatin.	Cicero	in P. Vatinium testem interrogatio		Tullius Cicero, Marcus													
Cic.	Verr. 1,2	Cicero	in Verrem actio prima, secunda		Tullius Cicero, Marcus													
Claud.	carm.	Claudius Claudianus	carmina															
Claud.	rapt. Pros.	Claudius Claudianus	de raptu Proserpinae															
	Cod. Iust.		Corpus Iuris Civilis, Codex Iustinianus															
Colum.		Columella																
Curt.		Curtius Rufus	historiae Alexandri Magni															
Cypr.		Cyprianus																
Demokr.		Demokritos																
Demosth. Demosthenes	orationes	or.																
	Dig.		Corpus Iuris Civilis, Digesta (Pandekten) 															
Diod.		Diodorus Siculus																
Diog. Laert.		Diogenes Laertios																
Dion Chrys.		Dion Chrysostomos																
Dion. Hal.	ant.	Dionysios Halicarnassos	antiquitates Romanae															
Dion. Hal.	comp.	Dionysios Halicarnassos	de compositione verborum															
Dion. Hal.	rhet.	Dionysios Halicarnassos	ars rhetorica         															
Don.		Donatus grammaticus																
Drac.		Dracontius																
Dt		Deuteronomium (= 5. Mose)																
Emp.		Empedokles																
Enn.	ann.	Ennius	Annales (Skutsch, 1985)															
Enn.	sat.	Ennius	Saturae, (Vahlen, 21928)															
Enn.	scaen.	Ennius	fragmenta scenica (Vahlen, 21928)															
Ennod.		Ennodius																
Eph		Epheserbrief																
Epik.		Epikuros																
Epikt.		Epiktetos																
Etym. m.		Etymologicum magnum (Gaisford)																
Eukl. Eukleides	elementa	elem.																
Eur.	Alc.	Euripides	Alcestis															
Eur.	Andr.	Euripides	Andromache															
Eur.	Bacch.	Euripides	Bacchae															
Eur.	Cycl.	Euripides	Cyclops															
Eur.	El.	Euripides	Electra															
Eur.	Hec.	Euripides	Hecuba (Hekabe)															
Eur.	Hel.	Euripides	Helena															
Eur.	Heracl.	Euripides	Heraclidae															
Eur.	Herc.	Euripides	Hercules (furens)															
Eur.	Hipp.	Euripides	Hippolytos															
Eur.	Ion	Euripides	Ion															
Eur.	Iph. A.	Euripides	Iphigenia Aulidensis															
Eur.	Iph. T.	Euripides	Iphigenia Taurica															
Eur.	Med.	Euripides	Medea															
Eur.	Or.	Euripides	Orestes															
Eur.	Phoen.	Euripides	Phoenissae															
Eur.	Rhes.	Euripides	Rhesus															
Eur.	Suppl.	Euripides	Supplices (ἱκέτιδες)															
Eur.	Tro.	Euripides	Troades															
Eus.	De. Ev.	Eusebios	Demonstratio Evangelica															
Eus.	HE	Eusebios	Historia Ecclesiastica															
Eus.	On.	Eusebios	Onomastikon															
Eus.	Pr. Ev.	Eusebios	Praeparatio Evangelica															
Eust.		Eustathios																
Eutr.		Eutropius																
Fest.		Festus																
Flor. 	epit.	Florus	epitoma de Tito Livio															
Frontin.	aqu. strat.	Frontinus	de aquae ductu urbis Romae strategemata															
Fulg.		Fulgentius Afer																
Gal		Galaterbrief																
Gal.		Galenos																
Gell.		Gellius	noctes Atticae															
Gorg.		Gorgias																
Greg. M.	dial.	Gregorius Magnus	dialogi (de miraculis patrum Italicorum)															
Greg. M.	epist.	Gregorius Magnus	epistulae															
Greg. M.	past.	Gregorius Magnus	regula pastoralis															
Greg. Naz.	epist.	Gregorius Nazianzienus	epistulae															
Greg. Naz.	or.	Gregorius Nazianzienus	orationes															
Greg. Nyss.		Gregorius Nyssenus																
Greg. Tur.	Franc.	Gregorius von Tours	historia Francorum															
Greg. Tur.	Mart.	Gregorius von Tours	de virtutibus Martini															
Greg. Tur.	vit. patr.	Gregorius von Tours	de vita patrum															
Hdt.		Herodotos																
Hekat.		Hekataios																
Herakl.		Herakleitos																
Herakl. Pont.		Herakleides Pontikos																
	Herc. O.		Hercules Oetaeus															
Herm. Trism.		Hermes Trismegistos																
Herodian.		Herodianos																
Hes.	cat.	Hesiodos	Catalogues feminarum (ἠοίαι)															
Hes.	erg.	Hesiodos	opera et dies (ἔργα καὶ ἡμέραι)															
Hes.	scut.	Hesiodos	scutum (ἀσπίς)															
Hes.	theog.	Hesiodos	Theogonia															
Hesych.		Hesychios																
Hier.	chron.	Hieronymos	chronicon															
Hier.	comm.in Ez	Hieronymos	commentaria in Ezechielem (PL 25)															
Hier.	epist.	Hieronymos	epistulae															
Hier.	On.	Hieronymos	Onomastikon															
Hier.	vir. ill.	Hieronymos	de viris illustribus															
Hippokr.		Hippokrates																
HL		Hohelied																
Hom.	h.	Homeros	Hymni Homeri															
Hom.	Il.	Homeros	Ilias															
Hom.	Od.	Homeros	Odyssee															
Hor.	ars	Horatius	ars poetica															
Hor.	carm.	Horatius	carmina															
Hor.	carm. saec.	Horatius	carmen saeculare															
Hor.	epist.	Horatius	epistulae															
Hor.	epod.	Horatius	epodi															
Hor.	sat.	Horatius	saturae (sermones)															
Hyg.	astr.	Hyginus	astronomica															
Hyg.	fab.	Hyginus	fabulae															
Iambl.	de myst.	Iamblichos	de mysteriis															
Iambl.	protr.	Iamblichos	protrepticus in philosophiam															
Iambl.	v. P.	Iamblichos	de vita Pythagorica															
	Inst. Iust.		Corpus Iuris Civilis, Institutiones															
Ios.	Ant. Iud.	Iosephos (Flavius Iosephus)	antiquitates Iudaicae															
Ios.	Bell. Iud.	Iosephos (Flavius Iosephus)	bellum Iudaicum															
Ios.	c. Ap.	Iosephos (Flavius Iosephus)	contra Apionem															
Ios.	vita	Iosephos (Flavius Iosephus)	de sua vita															
Isid.	nat.	Isidorus von Sevilla	de natura rerum															
Isid.	orig.	Isidorus von Sevilla	origines (etymologiae)															
Isokr. or.		Isokrates, orationes																
	Itin. Anton.		Itinerarium Antonini															
Iul. Vict.	Rhet.	C. Iulius Victor	ars rhetorica															
Iul.	epist.	Iulianos	epistulae															
Iul.	in Gal.	Iulianos	in Galilaeos															
Iul.	mis.	Iulianos	Misopogon															
Iul.	or.	Iulianos	orationes															
Iul.	symp.	Iulianos	symposion															
Iust.		Iustinus	epitoma historiarum Philippicarum															
Iuv.		Iuvenalis	saturae															
Iuvenc.		Iuvencus	evangelia															
Jo		Johannes																
Kall.	epigr.	Kallimachos	Epigrammata															
Kall.	frg.	Kallimachos	fragmentum															
Kall.	h.	Kallimachos	hymni															
Lact.	inst.	Lactantius	divinae institutiones															
Lact.	ira	Lactantius	de ira dei															
Lact.	mort. pers.	Lactantius	de mortibus persecutorum															
Lact.	opif.	Lactantius	de opificio dei															
Liv.		Livius	ab urbe condita															
Lk		Lukas																
Lucan.		Lucanus	bellum civile															
Lucil.		Lucilius	saturae															
Lucr.		Lucretius	de rerum natura															
Lukian.		Lukianos																
LXX		Septuaginta																
Lyd.	mag.	Lydos	de magistratibus															
Lyd.	mens.	Lydos	de mensibus															
Lykurg.		Lykurgos																
Lys.		Lysias																
M. Aur.		Marcus Aurelius Antonius Augustus																
Macr.	Sat.	Macrobius	Saturnalia															
Manil.		Manilius	astronomica															
Mar. Victorin.		Marius Victorinus																
Mart.		Martialis																
Mart. Cap.		Martianus Capella																
Mela		Pomponius Mela																
Men.	Dysk.	Menandros	Dyskolos 															
Men.	Epitr.	Menandros	Epitrepontes															
Men.	Sam.	Menandros	Samia															
Mimn.		Mimnermos																
Min. Fel.		Oct. Minucius Felix																
Mk		Markus																
Mosch.		Moschos																
Mt		Matthäus																
Naev.		Naevius																
Nep.	Att.	Cornelius Nepos	Atticus															
Nep.	Hann.	Cornelius Nepos	Hannibal															
Nik.	Alex.	Nikander	Alexipharmaka															
Nik.	Ther.	Nikander	Theriaka															
Nm		Numeri (= 4. Mose)																
Non.		Nonius																
Nonn. Nonnos	Dionysiaka	Dion.																
	Nov.		Corpus Iuris Civilis, Leges Novellae															
Orig.		Origines																
Oros. 		Orosius																
Ov.	am.	Ovidius	amores															
Ov.	ars	Ovidius	ars amatoria															
Ov.	epist.	Ovidius	epistulae (heroides)															
Ov.	fast.	Ovidius	fasti															
Ov.	Ib.	Ovidius	Ibis															
Ov.	medic.	Ovidius	medicamina faciei femineae															
Ov.	met.	Ovidius	metamorphoses															
Ov.	Pont.	Ovidius	epistulae ex Ponto															
Ov.	rem.	Ovidius	remedia amoris															
Ov.	trist.	Ovidius	tristia															
Papin.		Aemilius Papinianus																
	Pass. mart.		Passiones martyrum															
Paus.		Pausanias																
Pers.		Persius	saturae															
Petron.		Petronius	satyrica															
Phaedr.		Phaedrus	fabulae															
Pind.	frg.	Pindar	fragmentum															
Pind.	I.	Pindar	Isthmien															
Pind.	N.	Pindar	Nemeen															
Pind.	O.	Pindar	Olympien															
Pind.	P.	Pindar	Pythien															
Plat.	Alk. 1	Platon	Alkibiades 1															
Plat.	Alk. 2	Platon	Alkibiades 2															
Plat.	apol.	Platon	apologia															
Plat.	Ax.	Platon	Axiochos															
Plat.	Charm.	Platon	Charmides															
Plat.	def.	Platon	Definitiones (ὅροι)															
Plat.	Dem.	Platon	Demodokos															
Plat.	epin.	Platon	epinomis															
Plat.	epist.	Platon	epistulae															
Plat.	eras.	Platon	erastae															
Plat.	Eryx.	Platon	Eryxias															
Plat.	Euthyd.	Platon	Euthydemos															
Plat.	Euthyphr.	Platon	Euthyphron															
Plat.	Gorg.	Platon	Gorgias															
Plat.	Hipp. mai.	Platon	Hippias maior															
Plat.	Hipp. min.	Platon	Hippias minor															
Plat.	Hipparch.	Platon	Hipparchos															
Plat.	Ion	Platon	Ion															
Plat.	Kleit.	Platon	Kleitophon															
Plat.	Krat.	Platon	Kratylos															
Plat.	Krit.	Platon	Kriton															
Plat.	Kritias	Platon	Kritias															
Plat.	Lach.	Platon	Laches															
Plat.	leg.	Platon	leges (νόμοι)															
Plat.	Lys.	Platon	Lysis															
Plat.	Men.	Platon	Menon															
Plat.	Min.	Platon	Minos															
Plat.	Mx.	Platon	Menexenos															
Plat.	Parm.	Platon	Parmenides															
Plat.	Phaid.	Platon	Phaidon															
Plat.	Phaidr.	Platon	Phaidros															
Plat.	Phil.	Platon	Philebos															
Plat.	polit.	Platon	politicus															
Plat.	Prot.	Platon	Protagoras															
Plat.	rep.	Platon	de re publica (πολιτεία)															
Plat.	Sis.	Platon	Sisyphos															
Plat.	soph.	Platon	sophista															
Plat.	symp.	Platon	symposium															
Plat.	Thg.	Platon	Theages															
Plat.	Tht.	Platon	Theaitetos															
Plat.	Tim.	Platon	Timaios															
Plaut.	Amph.	Plautus	Amphitruo															
Plaut.	Asin.	Plautus	Asinaria															
Plaut.	Aul.	Plautus	Aulularia															
Plaut.	Bacch.	Plautus	Bacchides															
Plaut.	Cist.	Plautus	Cistellaria															
Plaut.	Curc.	Plautus	Curculio															
Plaut.	Epid.	Plautus	Epidicus															
Plaut.	Men.	Plautus	Menaechmi															
Plaut.	Merc.	Plautus	Mercator															
Plaut.	Mil.	Plautus	Miles gloriosus															
Plaut.	Most.	Plautus	Mostellaria															
Plaut.	Poen.	Plautus	Poenulus															
Plaut.	Pseud.	Plautus	Pseudolus															
Plaut.	Rud.	Plautus	Rudens															
Plaut.	Stich.	Plautus	Stichus															
Plaut.	Trin.	Plautus	Trinummus															
Plaut.	Truc.	Plautus	Truculentus															
Plaut.	Vid.	Plautus	Vidularia															
Plin. 	nat.	Plinius maior	naturalis historia															
Plin.	epist.	Plinius minor	Epistulae															
Plin.	paneg.	Plinius minor	panegyricus															
Plot.		Plotinos																
Plut.		Plutarchos	vitae parallelae															
Plut.	am.	Plutarchos	Amatorius (erotikos)															
Plut.	de Pyth.Or.	Plutarchos	de Pythiae oraculis															
Plut.	Is.	Plutarchos	de Iside et Osiride															
Plut.	mor.	Plutarchos	moralia															
Plut.	qu.Gr.	Plutarchos	quaestiones Graecae															
Plut.	qu.R.	Plutarchos	quaestiones Romanae															
Plut.	symp.	Plutarchos	quaestiones convivales															
Pol.		Polybios																
Poll.		Pollux																
Porph.		Porphyrios																
Poseid.		Poseidonios																
Priap.		Priapea																
Prisc.		Priscianus																
Prokl.		Proklos																
Prok.	aed.	Prokopius	de aedificiis (περὶ κτισμάτων)															
Prok.	BG	Prokopius	bellum Gothicum															
Prok.	BP	Prokopius	bellum Persicum															
Prok.	BV	Prokopius	bellum Vandalicum															
Prok.	HA	Prokopius	historia arcana															
Prokl.		Proklos																
Prop.		Propertius	elegiae															
Prud.		Prudentius																
Quint.	decl.	Quintilianus	declamationes minores															
Quint.	inst.	Quintilianus	institutio oratoria															
	R. Gest. div. Aug.		Res gestae divi Augusti															
Rhet. Her.		Rhetorica ad Herennium																
Röm		Römerbrief																
Rut. Nam.		Rutilius Claudius Namatianus	de reditu suo															
S. Emp.		Sextus Empiricus																
Sall.	Catil.	Sallustius	de coniuratione Catilinae															
Sall.	epist.	Sallustius	epistulae ad Caesarem															
Sall.	hist.	Sallustius	historiae															
Sall.	Iug.	Sallustius	de bello Iugurthino															
Sen.	contr.	Seneca maior	controversiae															
Sen.	suas.	Seneca maior	suasoriae															
Sen.	apocol.	Seneca minor	divi Claudii apocolocynthosis															
Sen.	benef.	Seneca minor	de beneficiis															
Sen.	clem.	Seneca minor	de clementia															
Sen.	dial.	Seneca minor	dialogi															
Sen.	epist.	Seneca minor	epistulae morales ad Lucilium															
Sen.	Herc. f.	Seneca minor	Hercules furens															
Sen.	Med.	Seneca minor	Medea															
Sen.	nat.	Seneca minor	naturales quaestiones															
Sen.	Oed.	Seneca minor	Oedipus															
Sen.	Phaedr.	Seneca minor	Phaedra															
Sen.	Phoen.	Seneca minor	Phoenissae															
Sen.	Thy.	Seneca minor	Thyestes															
Sen.	Tro.	Seneca minor	Troades															
Serv. auct.		Servius auctus Danielis																
Serv.	Aen.	Servius	commentarius in Vergilii Aeneida															
Serv.	ecl.	Servius	commentarius in Vergilii eclogas															
Serv.	georg.	Servius	commentarius in Vergilii georgica															
Sil.		Silius Italicus	Punica															
Sim.		Simonides																
Simpl.		Simplikios																
Sol.		Solon																
Soph.	Ai.	Sophokles	Aias															
Soph.	Ant.	Sophokles	Antigone															
Soph.	El.	Sophokles	Electra															
Soph.	Oid. K.	Sophokles	Oedipus Coloneus															
Soph.	Oid. T.	Sophokles	Oedipus Rex (Oedipus Tyrannus)															
Soph.	Phil.	Sophokles	Philoctetes															
Stat.	Ach.	Statius	Achilleis															
Stat.	silv.	Statius	silvae															
Stat.	Theb.	Statius	Thebais															
Stesich.		Stesichoros																
Stob.		Stobaios																
Strab.		Strabon																
	Suda		Suda (=Suidas)															
Suet.	Aug.	Suetonius	divus Augustus															
Suet.	Cal.	Suetonius	Caligula															
Suet.	Claud.	Suetonius	divus Claudius															
Suet.	Dom.	Suetonius	Domitianus															
Suet.	gramm.	Suetonius	de grammaticis															
Suet.	Iul.	Suetonius	divus Iulius															
Suet.	Tib.	Suetonius	divus Tiberius															
Suet.	Tit.	Suetonius	divus Titus															
Suet.	Vesp.	Suetonius	divus Vespasianus															
Suet.	Vit.	Suetonius	Vitellius															
Symm.	epist.	Symmachus	epistulae															
Symm.	or.	Symmachus	orationes															
Symm.	rel.	Symmachus	relationes															
Synes. Synesios	epistulae	epist.																
Tac.	Agr.	Tacitus	Agricola															
Tac.	ann.	Tacitus	annales															
Tac.	dial.	Tacitus	dialogus de oratoribus															
Tac.	Germ.	Tacitus	Germania															
Tac.	hist.	Tacitus	historiae															
Ter. Maur.		Terentianus Maurus																
Ter.	Ad.	Terentius	Adelphoe															
Ter.	Andr.	Terentius	Andria															
Ter.	Eun.	Terentius	Eunuchus															
Ter.	Haut.	Terentius	Heautontimorumenos															
Ter.	Hec.	Terentius	Hecyra															
Ter.	Phorm.	Terentius	Phormio															
Tert.	apol.	Tertullianus	apologeticum															
Tert.	nat.	Tertullianus	ad nationes															
Theokr.		Theokritos																
Thgn.		Theognis																
Thuk.		Thukydides																
Tib.		Tibullus, elegiae																
Ulp. 	(reg.)	Ulpianus	(Ulpiani regulae)															
Val. Fl.		Valerius Flaccus	Argonautica															
Val. Max.		Valerius Maximus	facta et dicta memorabilia															
Varro	ling.	Varro	de lingua Latina															
Varro	Men.	Varro	saturae Menippeae															
Varro	rust.	Varro	res rusticae															
Vell.	historiae Romanae	Velleius Paterculus																
Ven. Fort.		Venantius Fortunatus																
Verg.	Aen.	Vergilius	Aeneis															
Verg.	catal.	Vergilius	catalepton															
Verg.	ecl.	Vergilius	eclogae															
Verg.	georg.	Vergilius	georgica															
Vitr.		Vitruvius	de architectura															
	Vulg.		Vulgata															
Xen.	an.	Xenophon	anabasis															
Xen.	apol.	Xenophon	apologia															
Xen.	Ath. pol.	Xenophon	Athenaion politeia															
Xen.	hell.	Xenophon	hellenica															
Xen.	Kyr.	Xenophon	Cyrupaideia															
Xen.	kyn.	Xenophon	cynegeticus															
Xen.	mem.	Xenophon	memorabilia (Apomnemoneumata)															
Xen.	oec.	Xenophon	oeconomicus															
Xen.	symp.	Xenophon	symposium															
Xenophan.		Xenophanes																
Zen.		Zenon																
Zenob.		Zenobios																
